configuration_name,gpu_model,priority_rule,target_gpu_mw,number_of_gpus,gpu_mw,batt_mwh,batt_p_mw,grid_cap_mw,btf_cap_mw,curtailment_price_per_mwh,btf_price_per_mwh,annual_gpu_demand_mwh,annual_served_mwh,annual_unmet_mwh,coverage_energy,full_supply_interval_share,any_supply_interval_share,annual_direct_curt_used_mwh,annual_batt_used_mwh,annual_grid_used_mwh,annual_btf_used_mwh,annual_spilled_curt_mwh,annual_curt_cost,annual_grid_cost,annual_btf_cost,annual_total_energy_cost,avg_energy_cost_per_mwh_served,gpu_rack_count,gpu_container_count,gpu_rack_capex,gpu_container_capex,annual_gpu_capex,annual_battery_capex,annualized_gpu_capex,annualized_battery_capex,annual_fixed_om,annual_rental_revenue,annual_total_cost,annual_net_value,avg_total_cost_per_mwh_served
rtx_3090_1.0mw_no_battery,RTX 3090,balanced,1.0,2858.0,1.0003,0.0,0.0,0.5,0.5,25.0,45.0,8786.635199999993,8783.843217415435,2.7919825845605413,0.9996822466711082,0.13019884638737098,1.0,982.6477542095898,0.0,3919.724355374837,3881.4711078310083,16082.843111000293,24566.19385523974,259100.51142111863,174666.1998523954,458332.90512875374,52.17908537119973,358.0,30.0,2864000.0,7500000.0,14661000.0,0.0,2184921.3337878212,0.0,1000.0,6276167.999999996,2644254.238916575,3631913.7610834213,301.0361379941185
rtx_3090_1.0mw_with_battery,RTX 3090,balanced,1.0,2858.0,1.0003,1.0,1.0,0.5,0.5,25.0,45.0,8786.635199999993,8783.925058165762,2.710141834233692,0.9996915609021493,0.16127808136004856,1.0,982.6477542095898,308.26658107913806,3764.7156042545275,3728.2951186225055,15740.324687579032,33129.15444077135,254837.43273913037,167773.28033801282,455739.8675179145,51.88339660232496,358.0,30.0,2864000.0,7500000.0,14661000.0,600000.0,2184921.3337878212,89417.6932182452,11000.0,6276167.999999996,2741078.894523981,3535089.1054760152,312.0562705593445
rtx_5090_1.0mw_no_battery,RTX 5090,balanced,1.0,1740.0,1.0005,0.0,0.0,0.5,0.5,25.0,45.0,8788.391999999996,8784.071937581022,4.320062418973352,0.9995084353976275,0.13017987249544627,1.0,982.8273875429231,0.0,3919.741755374837,3881.5027946632613,16082.663477666963,24570.684688573077,259101.93770711863,174667.62575984682,458340.2481555385,52.17856267713551,218.0,19.0,1744000.0,4750000.0,11376000.0,0.0,1695359.463417929,0.0,1000.0,11463119.999999993,2154699.7115734676,9308420.288426526,245.29622786386625
rtx_5090_1.0mw_with_battery,RTX 5090,balanced,1.0,1740.0,1.0005,1.0,1.0,0.5,0.5,25.0,45.0,8788.391999999996,8784.208378331348,4.183621668646509,0.9995239605073775,0.16125910746812386,1.0,982.8273875429231,308.2631144124714,3764.7831209211945,3728.334755454759,15740.14890609755,33133.548977808394,254839.6876283637,167775.06399546424,455748.30060163635,51.882683216607674,218.0,19.0,1744000.0,4750000.0,11376000.0,600000.0,1695359.463417929,89417.6932182452,11000.0,11463119.999999993,2251525.4572378104,9211594.542762183,256.3151237158505
pro_6000_1.0mw_no_battery,PRO 6000,balanced,1.0,1819.0,1.00045,0.0,0.0,0.5,0.5,25.0,45.0,8787.9528,8784.01476258102,3.9380374189746674,0.9995518822746774,0.13017987249544627,1.0,982.78247920959,0.0,3919.737405374837,3881.494877996595,16082.708386000293,24569.56198023974,259101.58113561862,174667.26950984684,458338.41262570524,52.178693343979646,228.0,19.0,1824000.0,4750000.0,12404800.0,0.0,1848681.00138948,0.0,1000.0,9586857.599999992,2308019.414015185,7278838.185984807,262.7522239428724
pro_6000_1.0mw_with_battery,PRO 6000,balanced,1.0,1819.0,1.00045,1.0,1.0,0.5,0.5,25.0,45.0,8787.9528,8784.13755333135,3.8152466686477773,0.9995658548975537,0.16125910746812386,1.0,982.78247920959,308.26398107913803,3764.7662417545284,3728.3248512880923,15740.192851467917,33132.450343549135,254839.12390605538,167774.61830796424,455746.1925575687,51.88286155477253,228.0,19.0,1824000.0,4750000.0,12404800.0,600000.0,1848681.00138948,89417.6932182452,11000.0,9586857.599999992,2404844.887165294,7182012.712834698,273.7713147778823
a100_1.0mw_no_battery,A100,balanced,1.0,2500.0,1.0,0.0,0.0,0.5,0.5,25.0,45.0,8783.999999999995,8783.499999999995,0.4999999999999998,0.9999430783242259,0.9998861566484517,1.0,982.3783042095897,0.0,3919.6982553748367,3881.4234404155686,16083.112561000293,24559.457605239746,259098.37199211863,174664.05481870065,458321.884416059,52.17986957546073,313.0,27.0,2504000.0,6750000.0,39264000.0,0.0,5851493.844201966,0.0,1000.0,9881999.999999994,6310815.728618025,3571184.2713819696,718.4853109373289
a100_1.0mw_with_battery,A100,balanced,1.0,2500.0,1.0,1.0,1.0,0.5,0.5,25.0,45.0,8783.999999999995,8783.499999999995,0.4999999999999998,0.9999430783242259,0.9998861566484517,1.0,982.3783042095897,308.271781079138,3764.6143677539603,3728.235546957307,15740.588359801251,33122.56263521581,254834.05115173728,167770.5996130789,455727.213400032,51.88446671600527,313.0,27.0,2504000.0,6750000.0,39264000.0,600000.0,5851493.844201966,89417.6932182452,11000.0,9881999.999999994,6407638.750820244,3474361.2491797507,729.5085957557064
